wrangle	V	0-11	Wrangle horses .	The bar keeper threw them out , but they continued to wrangle on down the street .

ticket	N	6-9	This car could be just the ticket for a small family .	Joe will be running on an anti - crime ticket .

shake	V	0-2	Shake the salt out of the salt shaker .	His hands shook .

process	V	0-1	Process iron .	They processed into the dining room .

seize	V	4-2	Birds of prey often seize small mammals .	The invaders seized the land and property of the inhabitants .

follow	V	2-1	We must follow closely the economic development is Cuba .	It follows that your assertion is false .

pull	N	4-6	It was a long pull but we made it .	He was sidelined with a hamstring pull .

misdirect	V	0-2	Misdirect the letter .	The pedestrian misdirected the out - of - town driver .

touch	N	3-4	He has a touch of rheumatism .	He longed for the touch of her hand .

patronage	N	6-7	The restaurant had an upper class patronage .	Even before noon there was a considerable patronage .

exile	N	3-4	He lived in exile .	She lived as an exile .

ease	V	0-2	Ease the pain in your legs .	The pain eased overnight .

safety	N	3-3	He ran to safety .	The reciprocal of safety is risk .

exalt	V	2-3	These paintings exalt the imagination .	The man was exalted from a humble carpenter to a minister .

taste	N	11-3	To ask at that particular time was the ultimate in bad taste .	He got a taste of life on the wild side .

deliberation	N	3-1	It was the deliberation of his act that was insulting .	The deliberations of the jury .

strain	V	2-2	Do n't strain your mind too much .	The rope strained when the weight was attached .

vision	N	9-3	The runners emerged from the trees into his clear vision .	He had a vision of the Virgin Mary .

relieve	V	3-2	This shall not relieve either Party of any obligations .	The thief relieved me of $ 100 .

gap	N	0-7	Gap between income and outgo .	The exploring party went through the high gap in the mountains .

piece	N	6-3	The children acted out a comic piece to amuse the guests .	He sacrificed a piece to get a strategic advantage .

body	N	1-1	The body of the car was badly rusted .	Administrative body .

right	N	2-1	Take a right at the corner .	Film rights .

largeness	N	6-5	The might have repercussions of unimaginable largeness .	A man distinguished by the largeness and scope of his views .

affect	V	4-2	Will the new rules affect me ?	The medicine affects my heart rate .

hell	N	2-1	War is hell .	The hell of battle .

parade	N	6-3	The floats and horses in the parade were impressive , but the marching bands were really amazing .	She made a parade of her sorrows .

preparation	N	3-8	He left the preparation of meals to his wife .	The resolution of one dissonance is often the preparation for another dissonance .

sense	V	2-2	Particle detectors sense ionization .	She immediately sensed her disdain .

utter	V	0-1	Utter counterfeit currency .	He uttered strange sounds that nobody could understand .

prepare	V	0-1	Prepare for war .	We prepared a fish for dinner .

gem	N	3-4	He had the gem set in a ring for his wife .	She 's an absolute gem .

part	N	5-3	The government must do its part .	Religions in all parts of the world .

rise	V	0-2	Rise to the occasion .	Her spirits rose when she heard the good news .

hook	V	0-2	Hook the ball .	His opponent hooked him badly .

tool	N	3-6	He was a tool , no more than a pawn to her .	I do n't have the right tools to start fiddling around with the engine .

life	N	1-13	Real life .	It was a heavy play and the actors tried in vain to give life to it .

load	N	3-5	That 's a load off my mind .	I 'm worried that the load on that transformer will be too high .

office	N	4-5	An executive or judical office .	During his first year in office .

choke	V	0-3	Choke a carburetor .	This neckband is choking the cat .

embodiment	N	1-4	The embodiment of hope .	A circle was the embodiment of his concept of life .

date	N	1-1	His date never stopped talking .	The date for pleading .

engrave	V	0-0	Engrave a letter .	Engrave a pen .

aim	V	3-1	She wanted to aim a pun .	He aimed his fists towards his opponent 's face .

rush	N	7-4	The linebackers were ready to stop a rush .	Come back after the rush .

care	N	5-0	He handled the vase with care .	Care should be taken when holding babies .

noise	N	15-3	He knew that it was trash day , when the garbage collectors made all the noise .	They heard indistinct noises of people talking .

class	N	3-15	An emerging professional class .	Apologizing for losing your temper , even though you were badly provoked , showed real class .

disable	V	0-2	Disable this command on your computer .	He was disabled in a car accident .

horse	N	2-1	A clothes horse .	500 horse led the attack .

tree	V	4-4	Her dog likes to tree squirrels .	This lot should be treed so that the house will be shaded in summer .

attitude	N	10-6	The airliner had to land with a nose - up attitude after the incident .	The actor struck just the right attitude .

renovate	V	2-1	This will renovate my spirits .	They renovated the ceiling of the Sistine Chapel .

break	N	2-5	Make a break for it .	He finally got his big break .

check	N	8-1	As he called the role he put a check mark by each student 's name .	A check on its dependability under stress .

influence	N	4-4	He was a bad influence on the children .	Used her parents ' influence to get the job .

scrub	V	2-1	Surgeons must scrub prior to an operation .	She scrubbed his back .

facility	N	6-1	The assembly plant is an enormous facility .	Educational facilities .

closure	N	3-11	They regretted the closure of the day care center .	He needed to grieve before he could achieve a sense of closure .

peak	N	1-4	The peak of perfection .	The view from the peak was magnificent .

slip	V	0-3	Slip into something comfortable .	My grades are slipping .

flush	V	0-2	Flush the meadows .	The sky flushed with rosy splendor .

walk	N	7-0	After the blizzard he shoveled the front walk .	Walking is a healthy form of exercise .

blockage	N	3-10	There was a blockage in the sewer , so we called out the plumber .	We had to call a plumber to clear out the blockage in the drainpipe .

collapse	V	0-4	Collapse the music stand .	The school system is collapsing .

shape	N	6-6	Geometry is the mathematical science of shape .	He could barely make out their shapes .

aliyah	N	2-6	Students making aliyah .	He was called on for an aliyah .

acquaintance	N	9-9	I know of the man ; but have no acquaintance with him .	I have trouble remembering the names of all my acquaintances .

street	N	4-2	Be careful crossing the street .	The whole street protested the absence of lights .

fuss	V	2-1	Do n't fuss too much over the grandchildren -- they are quite big now .	She fusses over her husband .

direct	V	0-1	Direct your anger towards others , not towards yourself .	He directed all his energies into his dissertation .

strangle	V	5-6	The imperialist nation wanted to strangle the free trade between the two small countries .	A man in Boston has been strangling several dozen prostitutes .

board	N	1-4	The board has seven members .	He got out the board and set up the pieces .

grip	N	8-4	In Britain they call a bobby pin a grip .	They kept a firm grip on the two top priorities .

swear	V	1-3	I swear by my grandmother 's recipes .	Before God I swear I am innocent .

triangulate	V	0-5	Triangulate the piece of cardboard .	The land surveyor worked by triangulating the plot .

snap	N	3-3	The infielder 's snap and throw was a single motion .	Children can manage snaps better than buttons .

say	V	4-2	What does the law say ?	The clock says noon .

go	N	3-5	It 's my go .	I 'll give it a go .

shot	N	6-5	The nurse gave him a flu shot .	He tried to get unposed shots of his friends .

mixture	N	3-1	He drank a mixture of beer and lemonade .	The mixture of sulphuric acid and water produces heat .

violate	V	0-2	Violate the sanctity of the church .	This sentence violates the rules of syntax .

barrage	N	1-4	A barrage of questions .	They laid down a barrage in front of the advancing troops .

transfer	N	1-5	The transfer of the music from record to tape suppressed much of the background noise .	The best student was a transfer from LSU .

intellect	N	4-6	He has a keen intellect .	Some of the world 's leading intellects were meeting there .

toilet	N	4-4	He made his morning toilet and went to breakfast .	Pensions are in the toilet .

scraping	N	4-3	All that bowing and scraping did not impress him .	They collected blood scrapings for analysis .

breed	N	4-1	Google represents a new breed of entrepreneurs .	A breed of tulip .

section	N	7-0	There are three synagogues in the Jewish section .	Sections from the left ventricle showed diseased tissue .

pound	V	2-0	The locks pound the water of the canal .	Pound the roots with a heavy flat stone .

bang	N	3-4	He got a bang on the head .	They got a great bang out of it .

activity	N	1-4	Catalytic activity .	They avoided all recreational activity .

terror	N	2-3	He used terror to make them confess .	He was the terror of the neighborhood .

flowage	N	4-6	Rock fracture and rock flowage are different types of geological deformation .	Many campsites were located near the flowage .

denizen	N	5-7	The bald eagle is a denizen of the northern part of the state .	The giant squid is one of many denizens of the deep .

sensation	N	4-1	The news caused a sensation .	A sensation of touch .

dollar	N	4-1	He worships the almighty dollar .	The dollar coin has never been popular in the United States .

view	N	6-10	They look the same in outward view .	The most desirable feature of the park are the beautiful views .

role	N	5-2	My neighbor was the lead role in last year 's village play .	Play its role .

policy	N	9-3	You should have read the small print on your policy .	It was a policy of retribution .

scrap	N	7-8	The unhappy couple got into a terrible scrap .	That car is n't good for anything but scrap .

mess	V	1-3	I mess with the wardroom officers .	The afternoon breeze messed up my hair .

recognition	N	7-6	Territorial disputes were resolved in Guatemala 's recognition of Belize in 1991 .	The partners were delighted with the recognition of their work .

affiliation	N	3-2	A valuable financial affiliation .	Welcomed the affiliation of the research center with the university .

middle	N	2-3	In the middle of the marathon , David collapsed from fatigue .	Rain during the middle of April .

diet	N	1-6	The diet of the Giant Panda consists mainly of bamboo .	He 's been reading a steady diet of nonfiction for the last several years .

induction	N	6-1	He was ordered to report for induction into the army .	The induction of an anesthetic state .

bull	V	1-1	To bull railroad bonds .	He bulled his way in .

impregnation	N	1-1	The impregnation of wood with preservative .	The impregnation , whatever it was , had turned the rock blue .

motivation	N	5-1	We did not understand his motivation .	His motivation was at a high level .

identity	N	2-4	A right identity , x * I = x for any x in the structure .	You can lose your identity when you join the army .

fire	N	3-3	Clinton directed his fire at the Republican Party .	There was a fire at the school last night and the whole place burned down .

average	V	2-8	If you average 10 , 20 and 24 , you get 18 .	The number of hours I work per work averages out to 40 .

addition	N	1-1	The addition of a leap day every four years .	The addition of a bathroom was a major improvement .

shoot	V	0-0	Shoot cloth .	Shoot a star .

crush	V	1-2	To crush grapes .	The car crushed the toy .

eliminate	V	2-4	Let 's eliminate the course on Akkadian hieroglyphics .	This possibility can be eliminated from our consideration .

indent	V	0-0	Indent the documents .	Indent the paragraphs of a letter .

probation	N	0-4	Probation is part of the sentencing process .	You 'll be on probation for first six months . After that , if you work out , they 'll hire you permanently .

detention	N	1-1	His detention was politically motivated .	The detention of tardy pupils .

spread	V	2-4	The invaders spread their language all over the country .	A big oil spot spread across the water .

accession	N	0-5	Accession to such demands would set a dangerous precedent .	The librarian shelved the new accessions .

switch	V	0-3	Switch to a different brand of beer .	I want to switch this red dress for a green one .

association	N	9-5	You can not be convicted of criminal guilt by association .	He joined the Modern Language Association .

drop	N	8-4	It was a miracle that he survived the drop from that height .	That was a long drop , but fortunately I did n't break any bones .

experience	N	2-0	A surprising experience .	Experience is the best teacher .

undo	V	0-3	Undo the shoelace .	A single mistake undid the President and he had to resign .

relief	N	4-2	He has been on relief for many years .	Was the relief supposed to be protection from future harm or compensation for past injury ?

pencil	N	2-6	An eyebrow pencil .	This artist 's favorite medium is pencil .

bull	N	3-4	He was a bull of a man .	He made a bad bull of the assignment .

flick	V	0-1	Flick a piece of paper across the table .	He flicked his Bic .

treatment	N	1-1	His treatment of the race question is badly biased .	His treatment of space borrows from Italian architecture .

authority	N	6-5	She lost all her respect and authority after turning up drunk to the meeting .	This book is the final authority on the life of Milton .

hour	N	3-4	We live an hour from the airport .	It was their finest hour .

dig	N	7-3	They set up camp next to the dig .	She takes a dig at me every chance she gets .

dish	N	4-6	They served me a dish of rice .	We gave them a set of dishes for a wedding present .

death	N	5-5	The animal died a painful death .	He seemed more content in death than he had ever been in life .

afflict	V	0-2	Afflict with the plague .	She was afflicted by the death of her parents .

post	V	0-2	Post a warning at the dump .	The newspaper posted him in Timbuktu .

pinnacle	V	0-6	Pinnacle a pediment .	He did not want to be pinnacled .

lie	V	0-1	Lie down on the bed until you feel better .	She lied when she told me she was only 29 .

agency	N	3-2	She has free agency .	Central Intelligence Agency .

string	N	1-1	A string of islands .	The strings played superlatively well .

twist	V	2-0	Do n't twist my words .	Twist the dough into a braid .

invite	V	2-2	Can I invite you for dinner on Sunday night ?	The organizers invite submissions of papers for the conference .

render	V	0-6	Render the brick walls in the den .	The face of the child is rendered with much tenderness in this painting .

agency	N	3-3	The superintendence and agency of Providence in the natural world . --Woodward .	The Central Intelligence Agency .

breakdown	N	8-5	After so much stress , he suffered a breakdown and simply gave up .	His warning came after the breakdown of talks in London .

combust	V	1-2	We combust coal and other fossil fuels .	The professor combusted when the student did n't know the answer to a very elementary question .

writing	N	0-9	Writing was a form of therapy for him .	The idea occurs with increasing frequency in Hemingway 's writings .

inadequacy	N	5-1	Juvenile offenses often reflect an inadequacy in the parents .	The inadequacy of unemployment benefits .

flip	V	2-1	I 'd flip if anyone broke my phone .	He flipped when he heard that he was accepted into Princeton University .

reappearance	N	1-1	The reappearance of Halley 's comet .	His reappearance as Hamlet has been long awaited .

transplant	V	5-0	These delicate plants do not transplant easily .	Transplant the young rice plants .

spin	N	5-4	The campaign put a favorable spin on the story .	The skaters demonstrated their spins .

heel	V	0-0	Heel a golf ball .	Heel that dance .

construction	N	5-0	The engineer marvelled at his construction .	Construction is underway on the new bridge .

catch	V	10-1	I would love to have dinner but I have to catch a plane .	We caught something of his theory in the lecture .

scavenge	V	1-1	Hyenas scavenge .	She scavenged the garbage cans for food .

flood	V	0-3	Flood the market with tennis shoes .	The swollen river flooded the village .

steam	V	1-7	Just steam the vegetables .	Her indifference to his amorous advances really steamed the young man .

foundation	N	3-2	He lacks the foundation necessary for advanced study .	The Wikimedia Foundation , Inc. is the parent organization of the Wiktionary collaborative project .

twilight	N	9-3	I could just make out her face in the twilight .	He loved the twilight .

delight	N	5-1	The new car is a delight .	His delight to see her was obvious to all .

get	V	4-2	The operator could n't get Kobe because of the earthquake .	I 'll get this finished by lunchtime .

pity	N	3-7	It 's a pity he could n't do it .	The blind are too often objects of pity .

recruit	V	0-3	Recruit new soldiers .	The lab director recruited an able crew of assistants .

confusion	N	4-1	The army retreated in confusion .	A confusion of impressions .

stress	N	4-3	Some people put the stress on the first syllable of “ controversy ” ; others put it on the second .	The intensity of stress is expressed in units of force divided by units of area .

inject	V	0-5	Inject hydrogen into the balloon .	Now lie back while we inject you with the anesthetic .

cleat	V	0-0	Cleat running shoes for better traction .	Cleat a line .

repair	V	4-1	One can never fully repair the suffering and losses of the Jews in the Third Reich .	She repaired her TV set .

wail	V	0-1	Wail in self - pity .	She wailed with pain .

form	V	8-0	By adding " -ness " , you can form a noun from an adjective .	Form cylinders from the dough .

criticism	N	4-7	The senator received severe criticism from his opponent .	The politician received a lot of public criticism for his controversial stance on the issue .

cross	N	4-3	A mule is a cross between a horse and a donkey .	That is his cross to bear .

shower	N	7-2	The game was interrupted by a brief shower .	A little shower of rose petals .

promulgation	N	1-1	The promulgation was written in English .	His promulgation of the policy proved to be premature .

hostility	N	5-6	He could not conceal his hostility .	He could no longer contain his hostility .

clap	V	4-3	The children began to clap in time with the music .	The big bird clapped its wings .

deal	N	1-3	A deal of trouble .	He made a deal with the devil .

party	N	1-3	The party of the first part .	He planned a party to celebrate Bastille Day .

section	N	10-4	The history of this work is discussed in the next section .	A graduate student taught sections for the professor 's lecture course .

conserve	V	0-2	Conserve your energy for the ascent to the summit .	Mom always conserved the strawberries we grew in the backyard .

joy	N	1-1	A joy to behold .	The joys and demands of parenthood .

create	V	0-0	Create a poem .	Create one a peer .

surface	N	10-11	It was not what it appeared to be on the surface .	The cloth had a pattern of red dots on a white surface .

setting	N	2-3	A place setting of sterling flatware .	He changed the setting on the thermostat .

bend	V	4-0	The stick does not bend .	Bend your knees .

worship	V	1-2	They worship in the traditional manner .	Many Hindus worship Shiva .

prohibition	N	5-9	They were restrained by a prohibition in their charter .	In 1920 the 18th amendment to the Constitution established prohibition in the US .

distance	N	6-1	I could see it in the distance .	The distance from New York to Chicago .

strand	N	1-6	A strand of pearls .	He tried to pick up the strands of his former life .

activity	N	3-3	The level of activity declines with age .	His sphere of activity .

delay	N	6-1	Instant replay caused too long a delay .	The delay before the echo of a sound .

dip	V	0-1	Dip the brush into the paint .	She dipped her knee .

fuel	V	0-0	Fuel aircraft , ships , and cars .	Fuel the debate on creationism .

club	N	1-7	Each club played six home games with teams in its own division .	He played the drums at a jazz club .

appreciate	V	1-2	I appreciate your efforts .	The yen appreciated again !

youth	N	0-1	Youth everywhere rises in revolt .	Her youth and beauty is what attracted him to her .

inject	V	0-1	Inject heroin .	He injected new life into the performance .

force	N	1-2	A force out was recorded on the scorecard .	A public force is necessary to give security to the rights of citizens .

restraint	N	7-6	The room was simply decorated with great restraint .	The car did not have proper restraints fitted .

stab	N	3-3	He took a stab at forecasting .	She felt a stab of excitement .

success	N	1-5	His success in the marathon was unexpected .	The election was a remarkable success for the Whigs .

crisis	N	6-2	They went bankrupt during the economic crisis .	After the crisis the patient either dies or gets better .

sound	N	5-6	The main body of the sound ran parallel to the coast .	He strained to hear the faint sounds .

easiness	N	2-3	The very easiness of the deed held her back .	There was an easiness between them .

mire	V	1-5	To mire a horse or wagon .	Our people should not be mired in the past .

heritage	N	3-1	The world 's heritage of knowledge .	A heritage of freedom .

base	N	9-0	He told the painter that he wanted a yellow base with just a hint of green .	Bases include oxides and hydroxides of metals and ammonia .

power	N	5-6	He needed a lot of power to hit the ball out of the stadium .	The mysterious presence of an evil power .

pierce	V	1-2	To pierce a mystery .	The path pierced the jungle .

hit	V	1-3	We hit Detroit at one in the morning but kept driving through the night .	An interesting idea hit her .

deliberation	N	6-2	He was a man of judicial deliberation .	A little deliberation would have deterred them .

solve	V	0-2	Solve an old debt .	Did you solve the problem ?

relieve	V	0-3	Relieve the pressure and the stress .	This pill will relieve your headaches .

style	N	5-1	In the characteristic New York style .	This style of shoe is in demand .

crumb	V	0-0	Crumb the table .	Crumb a cutlet .

include	V	1-2	I include you in the list of culprits .	The list includes the names of many famous writers .

presence	N	7-4	I 'm convinced that there was a presence in that building that I ca n't explain , which led to my heroic actions .	She blushed in his presence .

relax	V	2-2	Do n't relax your efforts now .	The rules relaxed after the new director arrived .

parity	N	0-1	Parity is often used to check the integrity of transmitted data .	The parity of the mother must be considered .

suspend	V	0-4	Suspend the particles .	The prison sentence was suspended .

term	N	6-4	A healthy baby born at full term .	He learned many medical terms .

conversion	N	1-1	The conversion of equations .	His conversion to the Catholic faith .

set	N	2-3	Before the set of sun .	They played two sets of tennis after dinner .

mate	N	3-4	He lost the mate to his shoe .	Camels hate leaving their mates .

expression	N	8-3	They stared at the newcomer with a puzzled expression .	His manner of expression showed how much he cared .

rim	V	0-1	Rim a hat .	Sugar rimmed the dessert plate .

quiet	V	6-2	The teacher did her best to quiet the children down .	When you quiet , we can start talking .

bank	V	0-4	Bank on your good education .	The pilot had to bank the aircraft .

rag	V	0-0	Rag that old tune .	Rag ore .

allowance	N	4-3	He objected to the allowance of smoking in the dining room .	A child 's allowance should not be too generous .

contact	N	5-4	Litmus paper turns red on contact with an acid .	He used his business contacts to get an introduction to the governor .

virus	N	1-3	The virus of jealousy is latent in everyone .	He caught a virus and had to stay home from school .

fix	V	0-0	Fix your eyes on this spot .	Fix a race .

impulse	N	1-2	The impulse knocked him over .	The total impulse from the impact will depend on the kinetic energy of the bullet .

pattern	N	6-4	The American constitution has provided a pattern for many republics .	They changed their dietary pattern .

conscience	N	4-3	A person of unflagging conscience .	He has no conscience about his cruelty .

administer	V	0-1	Administer critical remarks to everyone present .	She administers the funds .

oppose	V	5-2	The senator said he would oppose the bill .	The board opposed his motion .

bit	N	1-1	A bit of paper .	A bit of rock caught him in the eye .

induce	V	0-2	Induce a crisis .	The ads induced me to buy a VCR .

security	N	1-3	Military security has been stepped up since the recent uprising .	The head of security was a former policeman .

cast	N	1-1	The cast would need a great deal of machining to become a recognizable finished part .	The cast was praised for a fine performance .

grab	V	3-0	This story will grab you .	Grab power .

